,lat_deg,lon_deg,depth_km,x_local_km,y_local_km,utm_lon,utm_lat,x_pixel,y_pixel,z_pixel,zz_stress,xx_stress,yy_stress,xz_stress,xy_stress,yz_stress,sig_nn,tau_dd,tau_ss,tau_cs,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg
0,32.6006,105.381,1.9696,2.0312,2.0,535751.0363033958,3607074.8810483217,1393.8915564724853,694.4622056304856,0.4696,19.37207633101251,10.976253429215104,30.172522971082287,1.8699925420144117,1.0706106138164704,2.392968966096144,20.916169136256578,0.9033777651033676,-8.975949673129561,-3.5284064571447953,1.2616,0.1872,1.2755,230.0,80.0,81.55986407549634
1,32.6054,105.3762,5.9088,2.0312,6.0,535298.744292876,3607605.3770192876,1393.358363459312,695.0875908653711,4.4088,23.582459219955947,14.771017091866257,32.37562069212515,2.1196278178130887,0.14477377106777434,-0.14530174036459428,25.421794751623857,-1.1494536084101834,-8.295898515580003,-6.877924567063907,1.4475,0.1238,1.4528,230.0,80.0,85.1115731998089
2,32.6102,105.3715,9.8481,2.0312,10.0,534855.8827100977,3608135.9262625608,1392.836287684706,695.7130389013264,8.3481,25.794262126199946,16.941881697796173,32.41991471139244,2.885398716197698,0.05358571564325487,-1.1990460702243584,26.915130943405522,-2.575581708608218,-7.264834354816397,-8.441196928353367,1.4525,0.0435,1.4532,230.0,80.0,88.28459781666933
3,32.615,105.3667,13.7873,2.0312,14.0,534403.6860057607,3608666.4627989205,1392.3032070250333,696.3384719574951,12.2873,27.11989473474127,18.737584977646563,32.40504089147849,3.481674488299393,0.0028233734888308513,-1.8999543012689808,28.02942016183073,-3.5330527842714137,-6.377079398917257,-9.527274628370025,1.2829,-0.0,1.2829,230.0,80.0,90.0
4,32.6198,105.3619,17.7265,2.0312,18.0,533951.5372178854,3609197.0198357617,1391.77018285259,696.9639291810458,16.2265,28.11462917966793,20.28580140638041,32.35986347348447,4.028200086796228,-0.07429737634578626,-2.539007345326515,29.01534431851094,-4.375449192145908,-5.589847749017711,-10.310548021330959,1.0385,-0.0,1.0385,230.0,80.0,90.0
5,32.6246,105.3572,21.6658,2.0312,22.0,533508.8173736985,3609727.628904695,1391.2482741692097,697.589447743615,20.1658,28.978723275881954,21.640558576386304,32.24772156502071,4.556863900728092,-0.16225669182881358,-3.1285245473004495,29.875141979341493,-5.167621695605097,-4.858949715575623,-10.83186967365208,0.7792,-0.0,0.7792,230.0,80.0,90.0
6,32.6294,105.3524,25.605,2.0312,26.0,533056.7639400763,3610258.226535752,1390.7153624069365,698.2149528224263,24.105,29.772150315408016,22.841604167434262,32.075399854711776,5.07603318245457,-0.2519690896751074,-3.6543486092822692,30.61986310554448,-5.912730044607065,-4.1672612375927365,-11.138215989269254,0.5151,-0.0,0.5151,230.0,80.0,90.0
7,32.6341,105.3476,29.5442,2.0312,30.0,532604.7947150661,3610777.759234976,1390.1825499155816,698.8274137965282,28.0442,30.510410281524134,23.912167313249604,31.856938011850705,5.584112646064162,-0.3378844982041369,-4.112856638840021,31.260672910058076,-6.6077378494845656,-3.5110830743563977,-11.273763580789499,0.2432,-0.0,0.2432,230.0,80.0,90.0
8,32.5772,105.3478,1.9696,6.0938,2.0,532644.1870239866,3604470.2298938055,1390.2289882859272,691.3916632263731,0.4696,25.392174229422384,11.687674624416601,31.91646280677922,0.04463222802475864,1.2918729847296127,2.9568802644463843,21.614927649686997,1.5703821675841905,-9.694350290942065,-3.1482372823604816,2.0044,0.166,2.0113,230.0,80.0,85.2656936852578
9,32.5819,105.343,5.9088,6.0938,6.0,532191.9816369943,3604989.7788948505,1389.695897390542,692.0041434181858,4.4088,25.6429166115767,14.8041058626246,32.60334218754265,1.8021369648949894,0.006699547615841173,0.4168677516379073,25.541574621428396,-0.8569214144767217,-8.346152947606996,-6.934915968649168,2.2840000000000003,0.1032,2.2863,230.0,80.0,87.41291354748091
